[Vulkan] Usando dispositivo: Intel(R) Graphics (ADL GT2) (tipo: IntegratedGpu)
Paso  | Token           | LogitVar | Entropy  | X-Move   | X-Sigma 
----------------------------------------------------------------------
  -> gemv: key=l17_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l17_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l18_q, n_in=576, n_out=576
  -> gemv: key=l18_k, n_in=576, n_out=192
  -> gemv: key=l18_v, n_in=576, n_out=192
  -> gemv: key=l18_o, n_in=576, n_out=576
  -> gemv: key=l18_gate, n_in=576, n_out=1
  -> gemv: key=l18_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l18_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l18_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l19_q, n_in=576, n_out=576
  -> gemv: key=l19_k, n_in=576, n_out=192
  -> gemv: key=l19_v, n_in=576, n_out=192
  -> gemv: key=l19_o, n_in=576, n_out=576
  -> gemv: key=l19_gate, n_in=576, n_out=1
  -> gemv: key=l19_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l19_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l19_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l20_q, n_in=576, n_out=576
  -> gemv: key=l20_k, n_in=576, n_out=192
  -> gemv: key=l20_v, n_in=576, n_out=192
  -> gemv: key=l20_o, n_in=576, n_out=576
  -> gemv: key=l20_gate, n_in=576, n_out=1
  -> gemv: key=l20_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l20_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l20_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l21_q, n_in=576, n_out=576
  -> gemv: key=l21_k, n_in=576, n_out=192
  -> gemv: key=l21_v, n_in=576, n_out=192
  -> gemv: key=l21_o, n_in=576, n_out=576
  -> gemv: key=l21_gate, n_in=576, n_out=1
  -> gemv: key=l21_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l21_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l21_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l22_q, n_in=576, n_out=576
  -> gemv: key=l22_k, n_in=576, n_out=192
  -> gemv: key=l22_v, n_in=576, n_out=192
  -> gemv: key=l22_o, n_in=576, n_out=576
  -> gemv: key=l22_gate, n_in=576, n_out=1
  -> gemv: key=l22_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l22_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l22_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l23_q, n_in=576, n_out=576
  -> gemv: key=l23_k, n_in=576, n_out=192
  -> gemv: key=l23_v, n_in=576, n_out=192
  -> gemv: key=l23_o, n_in=576, n_out=576
  -> gemv: key=l23_gate, n_in=576, n_out=1
  -> gemv: key=l23_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l23_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l23_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l24_q, n_in=576, n_out=576
  -> gemv: key=l24_k, n_in=576, n_out=192
  -> gemv: key=l24_v, n_in=576, n_out=192
  -> gemv: key=l24_o, n_in=576, n_out=576
  -> gemv: key=l24_gate, n_in=576, n_out=1
  -> gemv: key=l24_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l24_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l24_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l25_q, n_in=576, n_out=576
  -> gemv: key=l25_k, n_in=576, n_out=192
  -> gemv: key=l25_v, n_in=576, n_out=192
  -> gemv: key=l25_o, n_in=576, n_out=576
  -> gemv: key=l25_gate, n_in=576, n_out=1
  -> gemv: key=l25_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l25_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l25_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l26_q, n_in=576, n_out=576
  -> gemv: key=l26_k, n_in=576, n_out=192
  -> gemv: key=l26_v, n_in=576, n_out=192
  -> gemv: key=l26_o, n_in=576, n_out=576
  -> gemv: key=l26_gate, n_in=576, n_out=1
  -> gemv: key=l26_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l26_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l26_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l27_q, n_in=576, n_out=576
  -> gemv: key=l27_k, n_in=576, n_out=192
  -> gemv: key=l27_v, n_in=576, n_out=192
  -> gemv: key=l27_o, n_in=576, n_out=576
  -> gemv: key=l27_gate, n_in=576, n_out=1
  -> gemv: key=l27_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l27_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l27_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l28_q, n_in=576, n_out=576
  -> gemv: key=l28_k, n_in=576, n_out=192
  -> gemv: key=l28_v, n_in=576, n_out=192
  -> gemv: key=l28_o, n_in=576, n_out=576
  -> gemv: key=l28_gate, n_in=576, n_out=1
  -> gemv: key=l28_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l28_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l28_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l29_q, n_in=576, n_out=576
  -> gemv: key=l29_k, n_in=576, n_out=192
  -> gemv: key=l29_v, n_in=576, n_out=192
  -> gemv: key=l29_o, n_in=576, n_out=576
  -> gemv: key=l29_gate, n_in=576, n_out=1
  -> gemv: key=l29_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l29_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l29_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l0_q, n_in=576, n_out=576
  -> gemv: key=l0_k, n_in=576, n_out=192
  -> gemv: key=l0_v, n_in=576, n_out=192
  -> gemv: key=l0_o, n_in=576, n_out=576
  -> gemv: key=l0_gate, n_in=576, n_out=1
  -> gemv: key=l0_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l0_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l0_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l1_q, n_in=576, n_out=576
  -> gemv: key=l1_k, n_in=576, n_out=192
  -> gemv: key=l1_v, n_in=576, n_out=192
  -> gemv: key=l1_o, n_in=576, n_out=576
  -> gemv: key=l1_gate, n_in=576, n_out=1
  -> gemv: key=l1_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l1_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l1_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l2_q, n_in=576, n_out=576
  -> gemv: key=l2_k, n_in=576, n_out=192
  -> gemv: key=l2_v, n_in=576, n_out=192
  -> gemv: key=l2_o, n_in=576, n_out=576
  -> gemv: key=l2_gate, n_in=576, n_out=1
  -> gemv: key=l2_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l2_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l2_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l3_q, n_in=576, n_out=576
  -> gemv: key=l3_k, n_in=576, n_out=192
  -> gemv: key=l3_v, n_in=576, n_out=192
  -> gemv: key=l3_o, n_in=576, n_out=576
  -> gemv: key=l3_gate, n_in=576, n_out=1
  -> gemv: key=l3_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l3_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l3_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l4_q, n_in=576, n_out=576
  -> gemv: key=l4_k, n_in=576, n_out=192
  -> gemv: key=l4_v, n_in=576, n_out=192
  -> gemv: key=l4_o, n_in=576, n_out=576
  -> gemv: key=l4_gate, n_in=576, n_out=1
  -> gemv: key=l4_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l4_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l4_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l5_q, n_in=576, n_out=576
  -> gemv: key=l5_k, n_in=576, n_out=192
  -> gemv: key=l5_v, n_in=576, n_out=192
  -> gemv: key=l5_o, n_in=576, n_out=576
  -> gemv: key=l5_gate, n_in=576, n_out=1
  -> gemv: key=l5_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l5_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l5_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l6_q, n_in=576, n_out=576
  -> gemv: key=l6_k, n_in=576, n_out=192
  -> gemv: key=l6_v, n_in=576, n_out=192
  -> gemv: key=l6_o, n_in=576, n_out=576
  -> gemv: key=l6_gate, n_in=576, n_out=1
  -> gemv: key=l6_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l6_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l6_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l7_q, n_in=576, n_out=576
  -> gemv: key=l7_k, n_in=576, n_out=192
  -> gemv: key=l7_v, n_in=576, n_out=192
  -> gemv: key=l7_o, n_in=576, n_out=576
  -> gemv: key=l7_gate, n_in=576, n_out=1
  -> gemv: key=l7_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l7_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l7_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l8_q, n_in=576, n_out=576
  -> gemv: key=l8_k, n_in=576, n_out=192
  -> gemv: key=l8_v, n_in=576, n_out=192
  -> gemv: key=l8_o, n_in=576, n_out=576
  -> gemv: key=l8_gate, n_in=576, n_out=1
  -> gemv: key=l8_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l8_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l8_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l9_q, n_in=576, n_out=576
  -> gemv: key=l9_k, n_in=576, n_out=192
  -> gemv: key=l9_v, n_in=576, n_out=192
  -> gemv: key=l9_o, n_in=576, n_out=576
  -> gemv: key=l9_gate, n_in=576, n_out=1
  -> gemv: key=l9_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l9_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l9_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l10_q, n_in=576, n_out=576
  -> gemv: key=l10_k, n_in=576, n_out=192
  -> gemv: key=l10_v, n_in=576, n_out=192
  -> gemv: key=l10_o, n_in=576, n_out=576
  -> gemv: key=l10_gate, n_in=576, n_out=1
  -> gemv: key=l10_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l10_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l10_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l11_q, n_in=576, n_out=576
  -> gemv: key=l11_k, n_in=576, n_out=192
  -> gemv: key=l11_v, n_in=576, n_out=192
  -> gemv: key=l11_o, n_in=576, n_out=576
  -> gemv: key=l11_gate, n_in=576, n_out=1
  -> gemv: key=l11_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l11_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l11_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l12_q, n_in=576, n_out=576
  -> gemv: key=l12_k, n_in=576, n_out=192
  -> gemv: key=l12_v, n_in=576, n_out=192
  -> gemv: key=l12_o, n_in=576, n_out=576
  -> gemv: key=l12_gate, n_in=576, n_out=1
  -> gemv: key=l12_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l12_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l12_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l13_q, n_in=576, n_out=576
  -> gemv: key=l13_k, n_in=576, n_out=192
  -> gemv: key=l13_v, n_in=576, n_out=192
  -> gemv: key=l13_o, n_in=576, n_out=576
  -> gemv: key=l13_gate, n_in=576, n_out=1
  -> gemv: key=l13_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l13_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l13_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l14_q, n_in=576, n_out=576
  -> gemv: key=l14_k, n_in=576, n_out=192
  -> gemv: key=l14_v, n_in=576, n_out=192
  -> gemv: key=l14_o, n_in=576, n_out=576
  -> gemv: key=l14_gate, n_in=576, n_out=1
  -> gemv: key=l14_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l14_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l14_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l15_q, n_in=576, n_out=576
  -> gemv: key=l15_k, n_in=576, n_out=192
  -> gemv: key=l15_v, n_in=576, n_out=192
  -> gemv: key=l15_o, n_in=576, n_out=576
  -> gemv: key=l15_gate, n_in=576, n_out=1
  -> gemv: key=l15_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l15_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l15_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l16_q, n_in=576, n_out=576
  -> gemv: key=l16_k, n_in=576, n_out=192
  -> gemv: key=l16_v, n_in=576, n_out=192
  -> gemv: key=l16_o, n_in=576, n_out=576
  -> gemv: key=l16_gate, n_in=576, n_out=1
  -> gemv: key=l16_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l16_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l16_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l17_q, n_in=576, n_out=576
  -> gemv: key=l17_k, n_in=576, n_out=192
  -> gemv: key=l17_v, n_in=576, n_out=192
  -> gemv: key=l17_o, n_in=576, n_out=576
  -> gemv: key=l17_gate, n_in=576, n_out=1
  -> gemv: key=l17_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l17_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l17_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l18_q, n_in=576, n_out=576
  -> gemv: key=l18_k, n_in=576, n_out=192
  -> gemv: key=l18_v, n_in=576, n_out=192
  -> gemv: key=l18_o, n_in=576, n_out=576
  -> gemv: key=l18_gate, n_in=576, n_out=1
  -> gemv: key=l18_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l18_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l18_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l19_q, n_in=576, n_out=576
  -> gemv: key=l19_k, n_in=576, n_out=192
  -> gemv: key=l19_v, n_in=576, n_out=192
  -> gemv: key=l19_o, n_in=576, n_out=576
  -> gemv: key=l19_gate, n_in=576, n_out=1
  -> gemv: key=l19_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l19_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l19_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l20_q, n_in=576, n_out=576
  -> gemv: key=l20_k, n_in=576, n_out=192
  -> gemv: key=l20_v, n_in=576, n_out=192
  -> gemv: key=l20_o, n_in=576, n_out=576
  -> gemv: key=l20_gate, n_in=576, n_out=1
  -> gemv: key=l20_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l20_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l20_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l21_q, n_in=576, n_out=576
  -> gemv: key=l21_k, n_in=576, n_out=192
  -> gemv: key=l21_v, n_in=576, n_out=192
  -> gemv: key=l21_o, n_in=576, n_out=576
  -> gemv: key=l21_gate, n_in=576, n_out=1
  -> gemv: key=l21_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l21_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l21_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l22_q, n_in=576, n_out=576
  -> gemv: key=l22_k, n_in=576, n_out=192
  -> gemv: key=l22_v, n_in=576, n_out=192
  -> gemv: key=l22_o, n_in=576, n_out=576
  -> gemv: key=l22_gate, n_in=576, n_out=1
  -> gemv: key=l22_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l22_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l22_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l23_q, n_in=576, n_out=576
  -> gemv: key=l23_k, n_in=576, n_out=192
  -> gemv: key=l23_v, n_in=576, n_out=192
  -> gemv: key=l23_o, n_in=576, n_out=576
  -> gemv: key=l23_gate, n_in=576, n_out=1
  -> gemv: key=l23_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l23_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l23_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l24_q, n_in=576, n_out=576
  -> gemv: key=l24_k, n_in=576, n_out=192
  -> gemv: key=l24_v, n_in=576, n_out=192
  -> gemv: key=l24_o, n_in=576, n_out=576
  -> gemv: key=l24_gate, n_in=576, n_out=1
  -> gemv: key=l24_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l24_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l24_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l25_q, n_in=576, n_out=576
  -> gemv: key=l25_k, n_in=576, n_out=192
  -> gemv: key=l25_v, n_in=576, n_out=192
  -> gemv: key=l25_o, n_in=576, n_out=576
  -> gemv: key=l25_gate, n_in=576, n_out=1
  -> gemv: key=l25_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l25_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l25_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l26_q, n_in=576, n_out=576
  -> gemv: key=l26_k, n_in=576, n_out=192
  -> gemv: key=l26_v, n_in=576, n_out=192
  -> gemv: key=l26_o, n_in=576, n_out=576
  -> gemv: key=l26_gate, n_in=576, n_out=1
  -> gemv: key=l26_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l26_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l26_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l27_q, n_in=576, n_out=576
  -> gemv: key=l27_k, n_in=576, n_out=192
  -> gemv: key=l27_v, n_in=576, n_out=192
  -> gemv: key=l27_o, n_in=576, n_out=576
  -> gemv: key=l27_gate, n_in=576, n_out=1
  -> gemv: key=l27_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l27_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l27_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l28_q, n_in=576, n_out=576
  -> gemv: key=l28_k, n_in=576, n_out=192
  -> gemv: key=l28_v, n_in=576, n_out=192
  -> gemv: key=l28_o, n_in=576, n_out=576
  -> gemv: key=l28_gate, n_in=576, n_out=1
  -> gemv: key=l28_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l28_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l28_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l29_q, n_in=576, n_out=576
  -> gemv: key=l29_k, n_in=576, n_out=192
  -> gemv: key=l29_v, n_in=576, n_out=192
  -> gemv: key=l29_o, n_in=576, n_out=576
  -> gemv: key=l29_gate, n_in=576, n_out=1
  -> gemv: key=l29_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l29_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l29_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l0_q, n_in=576, n_out=576
  -> gemv: key=l0_k, n_in=576, n_out=192
  -> gemv: key=l0_v, n_in=576, n_out=192
  -> gemv: key=l0_o, n_in=576, n_out=576
  -> gemv: key=l0_gate, n_in=576, n_out=1
  -> gemv: key=l0_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l0_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l0_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l1_q, n_in=576, n_out=576
